"NAME","FACID","STATEID","MCARE_ID","TELEPHONE","FAXPHONE","FACEMAIL","ABBREV","ADDRESS","FAC_CITY","FAC_ST","FAC_ZIP","FACTYPE","OPERSTDESC","CLOSEDDATE","CNTYNAME","LIC_BED_TOTAL","CERT_BED_TOTAL","OPENDATE","BED_EFFECTIVE_DATE"
"CAREBUILDERS AT HOME","OHL50643","0637HHS","","3307599722","","gmclaughlin@carebuildersathome.com","SL-HMED","972 YOUNGSTOWN KINGSVILLE RD SUITE C","VIENNA","OH","44473","LA1","ACTIVE","","TRUMBULL","","","09/30/2022",""
"CAREBUILDERS AT HOME CENTRAL CINCINNATI","OHL50545","0539HHN","","5139916809","","akestler@carebuildersathome.com","SL-HNM","8044 MONTGOMERY ROAD #700","CINCINNATI","OH","45236","LA2","ACTIVE","","HAMILTON","","","09/30/2023",""
"CARECORE AT LIMA, LLC","OHL00721","1351N","365202","4192272154","4192244177","pcook@carecorelima.com","SL-NH","599 SOUTH SHAWNEE STREET","LIMA","OH","45804","L11","ACTIVE","","ALLEN","88","0","01/02/1968","01/09/2002"
"CARECORE AT MARGARET HALL","OHL01695","0816N","365733","5137515880","5137519813","mmobley@ccmargarethall.com","SL-NH","1960 MADISON ROAD","CINCINNATI","OH","45206","L11","ACTIVE","","HAMILTON","99","0","10/01/1962","02/24/2003"
"CARECORE AT MARY SCOTT","OHL01858","1456N","366122","9372780761","9372786482","cchelle@ccmaryscott.com","SL-NH","3109 CAMPUS DRIVE","DAYTON","OH","45406","L11","ACTIVE","","MONTGOMERY","102","0","03/01/1969","04/30/2023"
"CARECORE AT MINSTER","OHL01759","1631N","365566","4196282396","4196282881","sbrisk@carecorehealth.com","SL-NH","24 NORTH HAMILTON STREET","MINSTER","OH","45865","L11","ACTIVE","","AUGLAIZE","83","0","06/30/1977","07/01/2013"
"CARECRAFT HOME CARE, LLC","OHL7115","3664HHN","","6145925001","","carecrafthomecare@gmail.com","SL-HNM","428 BEECHER RD, SUITE#H","GAHANNA","OH","43230","LA2","ACTIVE","","FRANKLIN","","","12/31/2024",""
"CAREFIRST HOME HEALTH SERVICES LLC","OHL99376","3184HHS","","6145633402","","carefirst1964@gmail.com","SL-HMED","6740 HUNTLEY RD, SUITE 107","COLUMBUS","OH","43229","LA1","ACTIVE","","FRANKLIN","","","08/14/2024",""
"CAREGIVER USA CORP","OHL9999","3404HHS","","6144089939","","jinji.yue@caregiverusa.com","SL-HMED","2548 BILLINGSLEY ROAD","COLUMBUS","OH","43235","LA1","ACTIVE","","FRANKLIN","","","10/31/2024",""
"CAREGIVERS ALLIANCE HOMECARE LLC","OHL99000","2277HHN","","6147053904","","caregiversallcare@gmail.com","SL-HNM","7259 BLACKWELL DR","SUNBURY","OH","43074","LA2","ACTIVE","","DELAWARE","","","05/07/2024",""
"CAREGIVERS ALLIANCE HOMECARE LLC","OHL99434","3242HHS","","6147053904","","caregiversallcare@gmail.com","SL-HMED","1395 EAST DUBLIN GRANVILLE ROAD SUITE 222-D","COLUMBUS","OH","43229","LA1","ACTIVE","","FRANKLIN","","","08/15/2024",""
"CAREGIVING ANGELS, LLC","OHL42458","0047HHS","","5133314969","","info@cgahomecare.com","SL-HMED","530 WESSEL DRIVE","FAIRFIELD","OH","45014","LA1","ACTIVE","","BUTLER","","","",""
"CAREHEART HOME HEALTH CARE SERVICES","OHL99063","2882HHN","","5136933460","","nefjohnson8@gmail.com","SL-HNM","2300 MONTANA AVE SUITE 211","CHEVIOT","OH","45211","LA2","ACTIVE","","HAMILTON","","","05/23/2024",""
"CARELINE HOSPICE","OHL42368","0271HSP","","4194522102","4194522105","ametzing@carelinehealthgroup.com","SL-HOS","3550 BRIARFIELD BOULEVARD, SUITE 300","MAUMEE","OH","43537","L31","ACTIVE","","LUCAS","","","01/27/2022",""
"CAREMEHOME LLC","OHL99551","3355HHS","","5134993070","","caremehomenow@gmail.com","SL-HMED","1415 E DUBLIN GRANVILLE RD. SUITE 201","COLUMBUS","OH","43229","LA1","ACTIVE","","FRANKLIN","","","10/21/2024",""
"CARENEST HOME HEALTH SERVICES LLC","OHL6946","3852HHN","","6149992773","","guled@carenesthomehealth.com","SL-HNM","1440 ROCKSIDE RD SUITE 112","PARMA","OH","44134","LA2","ACTIVE","","CUYAHOGA","","","12/13/2024",""
"CARENEST LLC","OHL99488","3294HHN","","4808894256","","mattumutua@gmail.com","SL-HNM","6543 GLENALLEN AVE","SOLON","OH","44139","LA2","ACTIVE","","CUYAHOGA","","","09/02/2024",""
"CAREOASIS","OHL99396","3204HHN","","9294306118","","admin@thecareoasis.com","SL-HNM","7100 FOUNDRY ROW STE 288-73","LIBERTY TOWNSHIP","OH","45069","LA2","ACTIVE","","BUTLER","","","08/06/2024",""
"CAREOLOGY LLC","OHL51467","1444HHN","","4199732259","","info@careology.us","SL-HNM","4848 DORR ST, STE 1","TOLEDO","OH","43615","LA2","ACTIVE","","LUCAS","","","06/08/2023",""
"CAREPARTNERS HOME HEALTH, INC","OHL50448","0443HHS","","6148999055","","bmaxwell@carepartnersohio.com","SL-HMED","2931 E DUBLIN-GRANVILLE ROAD, SUITE 170","COLUMBUS","OH","43231","LA1","ACTIVE","","FRANKLIN","","","09/30/2022",""
"CAREPLUS HOME HEALTHCARE LLC","OHL51574","1540HHS","","9373273907","","doreneboyd@careplushomehealthcare.net","SL-HMED","2555 CREEKWOOD CT","SPRINGFIELD","OH","45504","LA1","ACTIVE","","CLARK","","","08/10/2023",""
"CARESOURCE DAYTON AREA HEALTH","OHH0003","0003HMO","","8002961076","9372243388","not available","SL-HMO","CENTRE ONE S MAIN STREET STE 440","DAYTON","OH","45402","L50","ACTIVE","","MONTGOMERY","","","06/21/1988",""
"CARETENDERS","OHL50317","0312HHS","","5677035399","5677035480","susan.brown@lhcgroup.com","SL-HMED","7015 SPRING MEADOWS WEST DR, STE 102","HOLLAND","OH","43528","LA1","ACTIVE","","LUCAS","","","09/30/2022",""
"CARETENDERS","OHL42545","0134HHS","","5139241370","","lra@lhcgroup.com","SL-HMED","8230 MONTGOMERY ROAD STE 210","CINCINNATI","OH","45236","LA1","ACTIVE","","HAMILTON","","","",""
"CARETENDERS","OHL50323","0318HHS","","6142276952","","randi.hudson@lhcgroup.com","SL-HMED","445 HUTCHINSON AVENUE, SUITE 640","COLUMBUS","OH","43235","LA1","ACTIVE","","FRANKLIN","","","09/30/2022",""
"CARETENDERS","OHL42529","0118HHS","","4402501840","","amy.lord@lhcgroup.com","SL-HMED","2621 DRYDEN ROAD, STE 107","MORAINE","OH","45439","LA1","ACTIVE","","MONTGOMERY","","","",""
"CARETENDERS","OHL50510","0505HHS","","4404280341","4404170054","megan.blanton@lhcgroup.com","SL-HMED","2604 HUBBARD ROAD","MADISON","OH","44057","LA1","ACTIVE","","LAKE","","","09/30/2022",""
"CARETENDERS","OHL42540","0129HHS","","9374241370","","rachel.robin-brown@lhcgroup.com","SL-HMED","580 LINCOLN PARK, SUITE 100","KETTERING","OH","45429","LA1","ACTIVE","","MONTGOMERY","","","09/30/2022",""
"CARETENDERS","OHL50512","0507HHS","","4402501840","4402501854","megan.blanton@lhcgroup.com","SL-HMED","20445 EMERALD PKWY SUITE 150","CLEVELAND","OH","44131","LA1","ACTIVE","","CUYAHOGA","","","09/30/2022",""
"CARETENDERS HOSPICE","OHL41404","0191HSP","361658","4408926212","4408926236","lra@lhcgroup.com","SL-HOS","3380 BRECKSVILLE ROAD","RICHFIELD","OH","44286","L31","ACTIVE","","SUMMIT","","","11/22/2010",""
"CARETENDERS HOSPICE","OHL41731","0221HSP","361681","6142101150","6142101159","lra@lhcgroup.com","SL-HOS","2550 CORPORATE EXCHANGE DRIVE","COLUMBUS","OH","43231","L31","ACTIVE","","FRANKLIN","","","10/03/2013",""
"CARETENDERS HOSPICE","OHL41658","0214HSP","361672","9374293677","9374293679","lra@lhcgroup.com","SL-HOS","2621 DRYDEN ROAD, SUITE 204","MORAINE","OH","45439","L31","ACTIVE","","MONTGOMERY","","","10/23/2012",""
"CARETENDERS VNA","OHL50321","0316HHS","","7406874410","","lisa.hamilton@lhcgroup.com","SL-HMED","1111 E MAIN STREET","LANCASTER","OH","43130","LA1","ACTIVE","","FAIRFIELD","","","09/30/2022",""
"CARETENDERS VNA","OHL42536","0125HHS","","7403322790","","hope.lenhart@lhcgroup.com","SL-HMED","1450 COLUMBUS AVENUE STE 102","WASHINGTN C H","OH","43160","LA1","ACTIVE","","FAYETTE","","","09/30/2022",""
"CAREWAY HOME HEALTH CARE, LLC","OHL7247","3897HHS","","6145925001","","essa.a.hani@gmail.com","SL-HMED","428 BEECHER RD, SUITE#G","GAHANNA","OH","43230","LA1","ACTIVE","","FRANKLIN","","","03/23/2025",""
"CARILLON HEALTH & REHAB CENTER","OHL01947","2202N","366157","9374966200","9374961990","brittany.schaerer@saberhealth.com","SL-NH","320 ALBANY STREET","DAYTON","OH","45408","L11","ACTIVE","","MONTGOMERY","68","0","07/09/1998","04/28/2023"
"CARING 4 YOU HOME CARE SVC LLC","OHL50453","0448HHS","","9375286900","","hussein43229@gmail.com","SL-HMED","115 LINWOOD STREET SUITE 1","DAYTON","OH","45405","LA1","ACTIVE","","MONTGOMERY","","","09/30/2022",""
"CARING AND COMPASSIONATE HOMECARE LLC","OHL51254","1241HHN","","5138865303","","brandilbee3187@gmail.com","SL-HNM","250 E 5TH ST., STE 1576","CINCINNATI","OH","45202","LA2","ACTIVE","","HAMILTON","","","12/19/2023",""
"CARING ANGELS HEALTHCARE LLC","OHL99381","3189HHN","","3302527232","","caringangelshealthcare@yahoo.com","SL-HNM","2383 S MAIN ST","AKRON","OH","44319","LA2","ACTIVE","","SUMMIT","","","07/03/2024",""
"CARING ANGELS HOME CARE ","OHL50608","0602HHN","","4028139361","","klunga@kingstransportationservices.com","SL-HNM","27101 E OVIATT ROAD SUITE 11","BAY VILLAGE","OH","44140","LA2","ACTIVE","","CUYAHOGA","","","03/17/2023",""
"CARING COMMUNITIES OF CENTRAL OHIO","OHL51953","1850HHN","","6148168075","","michaelesymone@gmail.com","SL-HNM","7268 GREENGROVE PLACE","POWELL","OH","43065","LA2","ACTIVE","","DELAWARE","","","01/03/2024",""
"CARING COMMUNITY HOME CARE, INC","OHL50450","0445HHS","","5136612537","","caringcommunityhomecare@gmail.com","SL-HMED","2300 MONTANA AVENUE, STE 203","CINCINNATI","OH","45211","LA1","ACTIVE","","HAMILTON","","","10/07/2022",""
"CARING COMPANIONS CARE CENTER","OHL99367","3175HHN","","2162201880","","caringcompanionscarecenter@gmail.com","SL-HNM","2490 LEE BLVD SUITE 323","CLEVELAND HEIGHTS","OH","44118","LA2","ACTIVE","","CUYAHOGA","","","06/26/2024",""
"CARING COVE HOME HEALTH CARE AGENCY LLC","OHL99500","3306HHN","","4402497007","","lakita@lakitasells.com","SL-HNM","1557 VERNON ADOM BLVD STE 202","AKRON","OH","44320","LA2","ACTIVE","","SUMMIT","","","09/12/2024",""
"CARING ELEVATION HOME CARE LLC","OHL99394","3202HHN","","9372314447","","info@caringelevationhc.com","SL-HNM","4520 GREENWICH VILLAGE AVE","DAYTON","OH","45406","LA2","ACTIVE","","MONTGOMERY","","","08/05/2024",""
"CARING HAND HOME CARE","OHL52120","2002HHN","","9378199711","","caringhandhhc@gmail.com","SL-HNM","550 ORCHARD DR","SPRINGBORO","OH","45066","LA2","ACTIVE","","WARREN","","","01/19/2024",""
"CARING HANDS HEALTH SERVICES LLC","OHL98815","2101HHN","","6146545563","","cashu@caringhandshealthservicesllc.com","SL-HNM","5454 CLEVELAND AVE","COLUMBUS","OH","43231","LA2","ACTIVE","","FRANKLIN","","","03/25/2024",""
"CARING HEART HOME HEALTH AGENCY, LLC","OHL51956","1853HHS","","6142312442","","jacharya@caringhearthha.com","SL-HMED","4207 E BROAD ST, 2ND FL","COLUMBUS","OH","43213","LA1","ACTIVE","","FRANKLIN","","","12/28/2023",""
"CARING HEARTS HOME CARE, LLC","OHL51748","1706HHN","","5138476653","","admin@caringheartshomecarecinci.com","SL-HNM","270 NORTHLAND BOULEVARD STE 204","CINCINNATI","OH","45246","LA2","ACTIVE","","HAMILTON","","","10/10/2023",""
"CARING HEARTS HOME HEALTH SERVICES, INC","OHL50346","0341HHS","","6148636950","","ralph@caringhearthealth.com","SL-HMED","5969 E LIVINGSTON AVENUE, SUITE 110","COLUMBUS","OH","43232","LA1","ACTIVE","","FRANKLIN","","","09/30/2022",""
"CARING HEARTS IN HOME SERVICE LLC","OHL51374","1355HHN","","4406942615","","abbigalekeenan1819@gmail.com","SL-HNM","11811 SHAKER BLVD SUITE 203","CLEVELAND","OH","44120","LA2","ACTIVE","","CUYAHOGA","","","06/22/2023",""
"CARING HOSPICE SERVICES OF OHIO, LLC","OHL41625","0210HSP","361670","2165245500","2165242727","cmarusa@caringhospice.com","SL-HOS","4700 ROCKSIDE ROAD","INDEPENDENCE","OH","44131","L31","ACTIVE","","CUYAHOGA","","","06/12/2012",""
"CARING IN-HOME HEALTH SERVICES LLC","OHL50809","0802HHN","","3309424884","","correspondence@caringinhomehealth.com","SL-HNM","5327 NORTHFIELD RD SUITE 406","BEDFORD","OH","44146","LA2","ACTIVE","","CUYAHOGA","","","10/01/2022",""
"CARING NURSES HOME HEALTH CARE, LLC","OHL50243","0238HHS","","6149875005","","caringnurseshhc@gmail.com","SL-HMED","665 E DUBLIN-GRANVILLE ROAD","COLUMBUS","OH","43229","LA1","ACTIVE","","FRANKLIN","","","09/30/2022",""
"CARING SENIOR SERVICE CANTON","OHL51217","1205HHN","","3307540133","","renoenthomecare@gmail.com","SL-HNM","4337 WHIPPLE AVE NW","CANTON","OH","44718","LA2","ACTIVE","","STARK","","","05/22/2023",""
"CARING SISTERS HOME CARE LLC","OHL98881","2164HHN","","7404056573","","ecrn521@gmail.com","SL-HNM","8079 BANKER DR","PICKERINGTON","OH","43147","LA2","ACTIVE","","FAIRFIELD","","","04/13/2024",""
"CARING TOUCH HOME HEALTHCARE LLC","OHL51693","1654HHS","","5133417567","","doreneboyd@careplushomehealthcare.net","SL-HMED","230 NORTHLAND BOULEVARD STE 215","SPRINGDALE","OH","45246","LA1","ACTIVE","","HAMILTON","","","09/25/2023",""
"CARING TOUCH LLC","OHL51807","1761HHS","","6147380756","","karacaringtouch@gmail.com","SL-HMED","5659 LILAC AVE","GROVE CITY","OH","43123","LA1","ACTIVE","","FRANKLIN","","","11/08/2023",""
"CARING WITH A PURPOSE HOME CARE LLC","OHL99270","3084HHN","","3175619153","","managerdir@caringpurpose.com","SL-HNM","11260 CHESTER RD 7TH FLOOR","CINCINNATI","OH","45246","LA2","ACTIVE","","HAMILTON","","","05/15/2024",""
"CARING WITH CARE HOME CARE LLC","OHL51425","1404HHN","","2162371800","","edwardstelena@yahoo.com","SL-HNM","4276 E 126TH ","CLEVELAND","OH","44105","LA2","ACTIVE","","CUYAHOGA","","","05/17/2023",""
"CARING WITH CRUZ HOME CARE LLC","OHL6981","3556HHN","","5137040491","","caringwithcruzhomecare@gmail.com","SL-HNM","201 E FIFTH STREET STE 1937","CINCINNATI","OH","45202","LA2","ACTIVE","","HAMILTON","","","12/04/2024",""
"CARINGNEST HOME CARE LLC","OHL51991","1884HHS","","6146649201","","ifaarah85@gmail.com","SL-HNM","3681 FISHINGER BLVD","HILLIARD","OH","43026","LA2","ACTIVE","","FRANKLIN","","","01/10/2024",""
"CARINGTON PARK","OHL00175","1518N","365286","4409648446","4409649083","kbraddock@carington-park.net","SL-NH","2217 WEST AVENUE","ASHTABULA","OH","44004","L11","ACTIVE","","ASHTABULA","175","0","11/06/1972","12/31/2020"
"CARLIN HOUSE ASSISTED LIVING","OHL40199","2415R","","7403806383","7406871344","samantha@carlinhouseal.com","SL-R","12 CARLIN DRIVE","LOGAN","OH","43138","L12","ACTIVE","","HOCKING","50","0","10/29/2004","10/29/2004"
"CARLISLE HEALTH CARE, INC","OHL01857","1334N","366043","9377462662","9377464772","administrator@ehcarlisle.net","SL-NH","730 HILLCREST DRIVE","CARLISLE","OH","45005","L11","ACTIVE","","WARREN","48","0","11/01/1967","02/11/2002"
"CARLYLE HOUSE THE","OHL41704","2634R","","9372933490","9374348850","bnelson@carlylehouseassistedliving.com","SL-R","3490 FAR HILLS AVENUE","KETTERING","OH","45429","L12","ACTIVE","","MONTGOMERY","111","0","06/06/2013","06/21/2016"
"CAROBEA HOME CARE SERVICES LLP","OHL98956","2235HHN","","5135508277","","beatriceserwahansong@gmail.com","SL-HNM","77 FAWN DRIVE APT 208","FAIRFIELD","OH","45014","LA2","ACTIVE","","BUTLER","","","03/07/2024",""
"CAROLYN CARES HOME HEALTHCARE AGENCY LLC","OHL51163","1148HHN","","2162801511","","j.clemis@yahoo.com","SL-HNM","27676 F WESTERCHESTER PARKWAY","WESTLAKE","OH","44145","LA2","ACTIVE","","CUYAHOGA","","","04/19/2023",""
"CARRIAGE COURT OF  WASHINGTON COURT HOUSE","OHL01153","2058R","","7403333434","7403333435","execdir@cc-wch.com","SL-R","500 NORTH GLENN AVENUE","WASHINGTON COURT HOU","OH","43160","L12","ACTIVE","","FAYETTE","84","0","01/02/1996","10/05/2015"
"CARRIAGE COURT OF GROVE CITY","OHL00985","1984R","","6148718000","6148718001","execdir@cc-grovecity.com","SL-R","2320 SONORA DRIVE","GROVE CITY","OH","43123","L12","ACTIVE","","FRANKLIN","92","0","01/29/1996","08/08/2016"
"CARRIAGE COURT OF HILLIARD","OHL01196","2248R","","6145297470","6145297480","mcoffelt@carriagecourthilliard.com","SL-R","3570 HERITAGE CLUB DRIVE","HILLIARD","OH","43026","L12","ACTIVE","","FRANKLIN","136","0","12/01/1999","09/29/2005"
"CARRIAGE HOUSE ASSISTED LIVING","OHL01504","2283R","","7402647667","7402643682","jaime.herald@capitalhcn.com","SL-R","3106 ST. CHARLES DRIVE","STEUBENVILLE","OH","43952","L12","ACTIVE","","JEFFERSON","69","0","06/27/2000","02/04/2002"
"CARRIAGE HOUSE OF FISHER-TITUS","OHL00868","2191R","","4196684228","4196886026","jtucker@ftmc.com","SL-R","175 SHADY LANE","NORWALK","OH","44857","L12","ACTIVE","","HURON","76","0","05/28/1998","06/27/2022"
"CARRIAGE INN OF STEUBENVILLE","OHL01372","1494N","365271","7402647161","7402647116","jaime.herald@capitalhcn.com","SL-NH","3102 ST. CHARLES DRIVE","STEUBENVILLE","OH","43952","L11","ACTIVE","","JEFFERSON","120","0","01/01/1972","02/04/2002"
"CARROLL COUNTY VISITING NURSE ASSOCIATION & HOME H","OHL50464","0459HHS","","3306277625","","christal@ccvna.net","SL-HMED","1029 COUNTRYSIDE DRIVE NW","CARROLLTON","OH","44615","LA1","ACTIVE","","CARROLL","","","09/30/2022",""
"CARROLL HEALTHCARE CENTER, INC","OHL01389","1729N","365579","3306275501","3306273649","kmangan@inspirahealthgroup.com","SL-NH","648 LONGHORN STREET","CARROLLTON","OH","44615","L11","ACTIVE","","CARROLL","52","0","07/16/1980","12/31/2022"
"CARROLL PLACE","OHL01150","1709R","","7406544529","7406814615","decoleman@carrollplaceseniorliving.com","SL-R","3682 DOLSON COURT, NW","CARROLL","OH","43112","L12","ACTIVE","","FAIRFIELD","56","0","01/01/1980","05/28/2015"
"CARTER HEALTHCARE","OHL50336","0331HHS","","7402646120","","kbryarley@carterhealthcare.com","SL-HMED","2199 SUNSET BLVD, SUITE C","STEUBENVILLE","OH","43952","LA1","ACTIVE","","JEFFERSON","","","09/30/2022",""
"CASE CENTER FOR SURGERY & ENDOSCOPY LLC","OHL42232","1258AS","36C0001324","4192282600","4192281100","giphysicians@gmail.com","SL-AS","512 N CABLE ROAD","LIMA","OH","45805","L61","ACTIVE","","ALLEN","1","0","11/21/2019","11/21/2019"
"CASSIE CARES IN HOME CARE LLC","OHL50476","0471HHN","","2166331229","","cassiecareshc@gmail.com","SL-HNM","8600 TYLER BLVD 5012","MENTOR","OH","44061","LA2","ACTIVE","","LAKE","","","09/30/2022",""
"CATARACT & LASER INSTITUTE","OHL40656","0833AS","36C0001025","4198653866","4198653451","mkopp@clisx.com","SL-AS","3509 BRIARFIELD BLVD","MAUMEE","OH","43537","L61","ACTIVE","","LUCAS","3","0","02/28/2007","02/28/2007"
"CAWLEY HOSPICE","OHL52039","0303HSP","","7407601299","7407362036","lance@cawleyhospice.org","SL-HOS","2730 WASHINGTON BLVD","BELPRE","OH","45714","L31","ACTIVE","","WASHINGTON","","","05/29/2024",""
"CDC BEACHWOOD HOME CARE","OHL42243","1263DC","362895","2165910923","2165910973","hross@cdcare.org","SL-DC","3755 ORANGE PLACE SUITE 103","BEACHWOOD","OH","44122","L63","ACTIVE","","CUYAHOGA","3","0","02/10/2020","02/10/2020"
"CDC FAIRVIEW PARK","OHL42340","1293DC","362877","4403332632","4403332670","hross@cdcare.org","SL-DC","20790 LORAIN ROAD","FAIRVIEW PARK","OH","44126","L63","ACTIVE","","CUYAHOGA","14","0","07/07/2021","07/07/2021"
"CDC HOME CARE, YOUNGSTOWN","OHL40891","0884DC","362721","2162957003","2162957166","hross@cdcare.org","SL-DC","807 SOUTHWESTERN RUN","YOUNGSTOWN","OH","44514","L63","ACTIVE","","MAHONING","3","0","03/20/2008","02/19/2008"
"CDC HOMECARE - MENTOR","OHL41868","1125DC","362835","4409513602","4402557581","hross@cdcare.org","SL-DC","8900 TYLER BLVD","MENTOR","OH","44060","L63","ACTIVE","","LAKE","2","0","08/27/2015","08/27/2015"
"CDC MIDDLEBURG HEIGHTS","OHL42103","1209DC","362878","4402343916","4402343941","hross@cdcare.org","SL-DC","6749 EASTLAND ROAD, SUITES D&E","MIDDLEBURG HEIGHTS","OH","44130","L63","ACTIVE","","CUYAHOGA","21","0","05/02/2018","11/24/2021"
"CEDAR HILL HEALTHCARE & REHABILITATION CENTER","OHL01458","1770N","366286","7406075075","7404546167","aickes@cedarhillhealth.com","SL-NH","1136 ADAIR AVENUE","ZANESVILLE","OH","43701","L11","ACTIVE","","MUSKINGUM","90","0","07/08/1983","09/23/2020"
"CEDAR HOME HEALTHCARE LLC","OHL6886","3464HHS","","6154822250","","cedarhomehealthcarellc@gmail.com","SL-HMED","2700 EAST DUBLIN GRANVILLE RD ","COLUMBUS","OH","43231","LA1","ACTIVE","","FRANKLIN","","","10/17/2024",""
"CEDAR LIVING AT MAYFIELD HEIGHTS","OHL42242","2881R","","2162426928","2163566849","derek@ariacares.com","SL-R","30091 CEDAR ROAD","MAYFIELD HEIGHTS","OH","44124","L12","ACTIVE","","CUYAHOGA","18","0","01/29/2020","01/29/2020"
"CEDARS OF LEBANON CARE CENTER","OHL01873","1826N","366296","5139320300","5139329278","ssharp@cchhealthcare.com","SL-NH","102 EAST SILVER STREET","LEBANON","OH","45036","L11","ACTIVE","","WARREN","45","0","04/10/1985","01/16/2002"
"CEDARVALE COMMONS REHABILITATION AND HEALTHCARE CE","OHL01084","1785N","365679","7403359270","7403359456","administrator@cedarvalecommonsrhc.com","SL-NH","375 GLENN AVENUE","WASHINGTON CH","OH","43160","L11","ACTIVE","","FAYETTE","92","0","01/19/1984","04/30/2023"
"CEDARVIEW CARE CENTER","OHL01755","1619N","365690","5139321121","5139340899","ssharp@cchhealthcare.com","SL-NH","115 OREGONIA ROAD","LEBANON","OH","45036","L11","ACTIVE","","WARREN","83","0","01/13/1977","10/14/2005"
"CEDARWOOD PLAZA","OHL00147","1260N","365033","2163713600","2163716766","jason.coe@lhshealth.com","SL-NH","12504 CEDAR ROAD","CLEVELAND","OH","44106","L11","ACTIVE","","CUYAHOGA","115","0","12/20/1965","04/29/2011"
"CELEBRATE HOME CARE LLC","OHL51297","1281HHN","","6147364343","","almas.taizhanov@celebratehomecare.com","SL-HNM","2241 SAWBURY BLVD","COLUMBUS","OH","43235","LA2","ACTIVE","","FRANKLIN","","","03/27/2023",""
"CELEBRITIES HEALTHCARE SOLUTIONS","OHL52121","2003HHN","","5139010052","","celebritieshealthcare@yahoo.com","SL-HNM","2648 STANTON AVE","CINCINNATI","OH","45206","LA2","ACTIVE","","HAMILTON","","","01/18/2024",""
"CELINA MANOR","OHL01768","1666N","365377","4195866645","4195865858","administrator@celinamanor.com","SL-NH","1001 MYERS ROAD","CELINA","OH","45822","L11","ACTIVE","","MERCER","75","0","06/26/1978","04/01/2024"
"CENTENNIAL HOME CARE, LLC","OHL99153","2971HHS","","6143167995","","centennialhomecare71@gmail.com","SL-HMED","465 WATERBURY CT, STE D","COLUMBUS","OH","43230","LA1","ACTIVE","","FRANKLIN","","","06/07/2024",""
"CENTER FOR  DIALYSIS CARE SHAKER HEIGHTS","OHL00558","0244DC","362553","2162957003","2162957166","hross@cdcare.org","SL-DC","18720 CHAGRIN BLVD.","SHAKER HEIGHTS","OH","44122","L63","ACTIVE","","CUYAHOGA","45","0","01/01/1997","12/24/2002"
"CENTER FOR ADVANCED EYE SURGERY","OHL00641","0548AS","36C0001124","3309650900","3309659250","kwolsiefer@eyecareassociates.com","SL-AS","1031 W. WESTERN RESERVE ROAD","POLAND","OH","44514","L61","ACTIVE","","MAHONING","3","0","05/24/1999","05/24/1999"
"CENTER FOR ASSISTED LIVING","OHL00054","1904R","","4402357100","4402357115","aritchie@elizajen.org","SL-R","26376 JOHN ROAD","OLMSTED TWP","OH","44138","L12","ACTIVE","","CUYAHOGA","60","0","11/11/1989","10/26/2022"
"CENTER FOR DIALYSIS CARE  JEFFERSON","OHL00575","0330DC","362564","2166580700","2162957014","hross@cdcare.org","SL-DC","222 EAST BEECH STREET","JEFFERSON","OH","44047","L63","ACTIVE","","ASHTABULA","10","0","06/03/1998","12/12/2002"
"CENTER FOR DIALYSIS CARE CANFIELD","OHL00633","0540DC","362612","2162957003","2162957014","hross@cdcare.org","SL-DC","3695 STUTZ DRIVE","CANFIELD","OH","44406","L63","ACTIVE","","MAHONING","20","0","03/11/1999","03/11/1999"
"CENTER FOR DIALYSIS CARE HEATHER HILL","OHL41208","0943DC","362603","4402864103","4402864823","hross@cdcare.org","SL-DC","12340 BASS LAKE ROAD","CHARDON","OH","44024","L63","ACTIVE","","GEAUGA","12","0","07/01/2009","07/01/2009"
"CENTER FOR DIALYSIS CARE OF WARRENSVILLE","OHL00602","0430DC","362582","2162957003","2162957166","hross@cdcare.org","SL-DC","4877 GALAXY PARKWAY, SUITE A","WARRENSVILLE HEIGHTS","OH","44128","L63","ACTIVE","","CUYAHOGA","30","0","06/02/1998","07/19/2004"
"CENTER FOR DIALYSIS CARE, BEACHWOOD","OHL41281","0955DC","362758","2163781580","2162957014","hross@cdcare.org","SL-DC","27350 CEDAR RD","BEACHWOOD","OH","44122","L63","ACTIVE","","CUYAHOGA","12","0","11/24/2009","11/24/2009"
"CENTER FOR DIALYSIS CARE, CLEVELAND EAST","OHL42197","1241DC","362500","2162837200","2162957013","hross@dccare.org","SL-DC","2155 STOKES BLVD","CLEVELAND","OH","44106","L63","ACTIVE","","CUYAHOGA","63","0","07/22/2019","07/22/2019"
"CENTER FOR DIALYSIS CARE, CLEVELAND WEST","OHL00583","0368DC","362567","2162957003","2162957014","hross@cdcare.org","SL-DC","3330 WEST 25TH STREET","CLEVELAND","OH","44109","L63","ACTIVE","","CUYAHOGA","30","0","05/13/1998","01/14/2003"
"CENTER FOR DIALYSIS CARE, EUCLID","OHL00615","0460DC","362577","2162957003","2162957014","hross@cdcare.org","SL-DC","25301 EUCLID AVENUE","EUCLID","OH","44117","L63","ACTIVE","","CUYAHOGA","35","0","06/04/1998","08/01/2002"
"CENTER FOR DIALYSIS CARE, GARFIELD","OHL40300","0767DC","362678","2162957003","2162957014","hross@cdcare.org","SL-DC","5595 TRANSPORTATION BOULEVARD","GARFIELD HEIGHTS","OH","44125","L63","ACTIVE","","CUYAHOGA","15","0","05/05/2005","05/05/2005"
